number,value,logreg_C,logreg_penalty_liblinear_saga,logreg_solver,numeric_weight,text_weight,tfidf_max_features,use_stemming
7,0.5249743342060744,2.3661540064603184,l1,lbfgs,7.361716094628554,0.8339152856093507,2000,False
10,0.5215902084099749,72.05630056701212,l1,lbfgs,7.854170906270513,0.7313355431403081,3500,False
2,0.5175976399111215,5.141096648805748,l1,liblinear,5.104629857953324,0.4297256589643226,3000,False
3,0.5174135110128079,7.085721663941605,l1,lbfgs,9.690688297671034,0.9539969835279999,2000,False
5,0.503744765457491,33.981724150105975,l2,liblinear,6.381099809299767,0.905344615384884,6000,False
4,0.48539400574641833,0.944351568796268,l1,liblinear,3.3290198344001523,0.9183883618709039,2000,True
6,0.44127596638267674,0.18037506431281855,l2,liblinear,3.5284105871864266,0.4210779940242304,5500,False
9,0.43789584255682473,0.0917853943525156,l2,lbfgs,7.938704619591049,0.6051494778125466,5000,True
8,0.32391101958112534,0.008935110590331868,l1,lbfgs,3.79884089544096,0.1572025152574213,3000,False
0,0.2992939476193217,0.0008629132190071859,l2,liblinear,2.4041677639819286,0.6387926357773329,5000,True
1,0.2901015294104994,0.0012601639723276807,l1,liblinear,2.636424704863906,0.29110519961044856,5500,True
